SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	244	49	8468	2363	0	238	0	635	146	13	167	10	262	151	79	8757	0	2779	365	154	74	142	48	0	0	6	112
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1008	213	26223	565	0	262	0	3156	3878	87	219	18	798	1276	1096	9177	17	2308	153	454	246	388	146	0	0	0	18
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	921	139	27712	1672	0	188	78	1175	3921	229	324	37	473	1769	873	10505	11	3039	384	303	491	349	103	0	0	0	19
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1090	228	21524	824	0	999	0	2514	1229	45	454	0	762	732	508	12588	11	2642	286	359	408	7	410	0	0	12	174
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	705	261	27193	5650	0	127	5	1659	3458	114	201	38	627	1196	39	10598	0	2858	164	215	592	1352	205	0	0	40	3
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1211	591	25637	6439	3913	978	0	738	2109	69	0	0	220	866	0	4981	0	1523	174	96	54	1173	884	34	385	0	0
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2158	438	28192	3628	113	644	0	389	2399	117	81	0	177	582	0	10280	4	2624	474	89	661	7	801	454	141	0	26
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1197	413	26531	1525	23	672	0	483	2016	127	34	0	189	333	0	7749	6	2467	441	88	433	0	1289	187	20	0	20
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	3538	1286	20784	387	39	391	0	4125	5197	421	0	0	5	68	0	11104	0	917	117	31	61	4	2021	106	5	0	5
PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	961	429	29125	1452	141	277	0	1586	3193	163	0	0	15	31	0	2322	0	589	46	22	23	23	1481	26	5	135	0
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	3010	624	28520	2233	489	978	0	911	5413	380	8	0	163	60	0	9243	0	2092	281	89	232	0	2419	303	127	0	45
PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2115	540	26444	5096	3125	598	0	514	5076	169	52	0	73	199	0	9197	0	2120	360	86	120	11	1352	42	225	0	9
PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	823	33	13067	6235	0	663	0	90	654	12	0	0	0	81	0	10657	0	1639	217	99	22	312	85	408	63	0	6
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	378	244	23071	4454	826	583	0	967	615	184	0	0	73	92	0	10659	0	1209	396	57	51	688	260	98	6	0	6
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2217	191	23398	2756	619	415	0	260	7092	172	0	0	62	196	222	9234	0	1726	300	51	154	0	750	667	15	0	20
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	484	118	25586	8200	0	1377	8	1021	2189	14	442	11	144	1155	64	14129	0	3052	769	568	515	166	121	0	0	1049	40
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1290	146	23960	4772	10	753	54	1128	2259	44	872	21	1155	436	124	14548	3	3363	412	374	364	33	209	30	8	105	76
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	519	123	21687	1493	0	324	46	1224	3703	166	436	12	458	630	106	9519	7	1391	134	285	241	69	72	0	2	6	0
PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	896	148	20374	1683	0	164	56	1163	2569	117	931	8	733	1267	164	10296	0	1083	130	646	502	64	111	0	0	9	19
PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	857	215	29011	6583	0	2097	187	1846	2502	34	202	4	1045	874	58	11500	16	2092	453	763	777	94	118	0	0	103	56
PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1290	211	26513	1715	0	938	4	2254	2951	74	142	7	199	376	737	16006	0	3801	387	727	1066	92	301	0	0	30	473
PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	896	191	24266	853	0	304	0	2555	1971	161	273	15	146	1604	228	8887	6	2328	247	964	484	1586	106	0	0	11	63
PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	864	208	22544	836	0	1739	26	1178	2524	64	465	10	235	669	154	11845	0	2298	363	660	431	71	200	0	0	77	40
PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	948	141	12341	3455	752	171	0	514	2156	21	16	0	0	230	0	8209	11	2371	226	111	0	0	380	147	298	11	46
PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	761	180	15253	2333	288	628	3	457	3192	134	11	0	0	108	0	13188	0	1975	215	80	0	0	494	268	12	0	43
PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	751	97	10560	3800	486	477	12	246	3295	65	55	0	0	129	0	8857	0	1550	175	79	0	0	467	74	32	12	7
PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	702	189	15226	3987	32	657	20	413	2873	25	42	0	0	40	0	10186	0	1902	291	46	0	29	299	185	64	0	74
PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1282	97	18418	5529	242	551	0	558	2773	169	0	0	0	197	0	7884	11	1675	266	41	0	0	215	326	136	0	30
PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1789	85	16237	4085	28	270	0	625	1601	46	46	0	100	537	0	8406	0	1082	112	41	22	41	147	162	29	19	9
PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1596	154	13389	3203	172	255	0	726	6101	86	51	0	25	98	8	8698	9	1271	118	45	37	5	731	88	0	0	0
PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	464	157	9959	2941	96	248	4	510	2411	81	40	0	14	102	4	10970	0	840	145	34	23	0	264	135	23	0	15
Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1044	164	18363	818	0	206	16	2020	2181	16	918	0	339	771	31	11883	0	3766	123	184	81	13	440	0	0	225	31
Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	217	38	11274	13	0	11	1032	547	450	0	649	0	162	513	0	10601	14	3436	82	71	5	0	226	0	0	3	9
Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1075	132	15795	118	0	152	446	1362	2487	16	422	0	431	743	10	11415	15	3774	145	173	71	201	199	0	0	18	22
Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	359	41	11502	49	0	134	334	838	1272	0	920	0	304	408	5	9413	0	5050	156	71	40	28	55	0	0	5	85
Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1065	111	20806	127	20	6	15	1544	1976	0	160	0	210	1423	0	16670	91	6119	151	225	0	0	538	0	11	76	19
Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1692	232	27798	7	0	0	36	4862	4700	0	599	0	335	985	0	14284	21	5255	128	175	0	0	788	0	0	0	14
Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1017	71	22973	432	39	103	221	1428	3575	11	534	0	63	1454	0	19646	0	5898	206	136	13	0	175	17	0	60	44
Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1609	176	23529	552	42	77	443	2070	3069	5	2510	0	401	1139	0	15461	0	4212	76	132	0	4	443	24	0	10	5
