SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	857	35	180	4237	2445	16775	1084	4470	0	6583	0	2097	187	33	1813	2502	34	202	4	1045	874	58	9	11491	16	179	1142	760	11	0	453	131	632	777	118	0	0	103	150
PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1290	37	174	5665	1885	15433	494	3036	0	1715	0	938	4	67	2187	2951	74	142	7	199	376	737	0	16006	0	221	2650	898	32	0	387	109	618	1066	301	0	0	30	565
PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	896	65	126	6013	2018	10431	636	5168	0	853	0	304	0	57	2498	1971	161	273	15	146	1604	228	0	8887	6	200	1629	467	32	0	247	38	926	484	106	0	0	11	1649
PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	864	56	152	2387	3304	12099	589	4165	0	836	0	1739	26	5	1173	2524	64	465	10	235	669	154	0	11845	0	106	1547	622	23	0	363	137	523	431	200	0	0	77	111
PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	948	68	73	3442	110	3442	1750	3267	330	3455	752	171	0	0	514	2156	21	16	0	0	230	0	5	8204	11	287	1205	840	13	26	226	91	20	0	380	147	298	11	46
PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	761	86	94	3676	234	4757	2852	3371	363	2333	288	628	3	11	446	3192	134	11	0	0	108	0	0	13188	0	250	968	757	0	0	215	77	3	0	494	268	12	0	43
PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	751	44	53	2659	139	3595	1768	2010	389	3800	486	477	12	0	246	3295	65	55	0	0	129	0	0	8857	0	229	772	537	5	7	175	68	11	0	467	74	32	12	7
PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	702	113	76	4223	202	3473	4052	2477	799	3987	32	657	20	0	413	2873	25	42	0	0	40	0	0	10186	0	327	530	1045	0	0	291	46	0	0	299	185	64	0	103
PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1282	30	67	5879	554	4443	2355	4025	1162	5529	242	551	0	0	558	2773	169	0	0	0	197	0	0	7884	11	24	999	652	0	0	266	41	0	0	215	326	136	0	30
PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1789	17	68	6170	627	3723	1703	3141	873	4085	28	270	0	0	625	1601	46	46	0	100	537	0	0	8406	0	25	676	369	12	0	112	26	15	22	147	162	29	19	50
PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1596	58	96	3475	348	4997	1775	2423	371	3203	172	255	0	13	713	6101	86	51	0	25	98	8	0	8698	9	164	656	448	3	0	118	45	0	37	731	88	0	0	5
PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	464	83	74	2931	273	2972	1189	2265	329	2941	96	248	4	23	487	2411	81	40	0	14	102	4	0	10970	0	100	395	343	2	0	145	14	20	23	264	135	23	0	15
Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1044	6	158	4094	532	10818	203	2716	0	818	0	206	16	16	2004	2181	16	918	0	339	771	31	7	11876	0	95	2827	636	62	146	123	60	124	81	440	0	0	225	44
Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	217	0	38	3657	31	5198	8	2380	0	13	0	11	1032	0	547	450	0	649	0	162	513	0	0	10601	14	31	2165	1074	27	139	82	18	53	5	226	0	0	3	9
Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1075	11	121	3635	511	7812	158	3679	0	118	0	152	446	12	1350	2487	16	422	0	431	743	10	23	11392	15	58	2432	1042	48	194	145	68	105	71	199	0	0	18	223
Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	359	4	37	2147	343	5243	84	3685	0	49	0	134	334	0	838	1272	0	920	0	304	408	5	6	9407	0	26	3311	1631	17	65	156	20	51	40	55	0	0	5	113
Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1065	0	111	7555	4	9238	45	3964	0	127	20	6	15	0	1544	1976	0	160	0	210	1423	0	46	16624	91	157	4402	1294	74	192	151	81	144	0	538	0	11	76	19
Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1692	0	232	7970	0	14689	12	5127	0	7	0	0	36	12	4850	4700	0	599	0	335	985	0	59	14225	21	53	3379	858	290	675	128	78	97	0	788	0	0	0	14
Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1017	6	65	5543	29	9887	670	6790	54	432	39	103	221	0	1428	3575	11	534	0	63	1454	0	0	19646	0	108	3820	1825	43	102	206	82	54	13	175	17	0	60	44
Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1609	20	156	6147	11	11209	517	5592	53	552	42	77	443	31	2039	3069	5	2510	0	401	1139	0	14	15447	0	68	2911	1009	81	143	76	50	82	0	443	24	0	10	9
