index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;__;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P113CT8-S171,32.0,1214.0,0.0,203.0,93.0,2611.0,0.0,6739.0,2981.0,0.0,0.0,1012.0,0.0,4117.0,2726.0,969.0,0.0,179.0,236.0,10.0,3793.0,45.0,4.0,761.0,283.0,82.0,203.0,49.0,38.0,0.0,950.0,12.0,913.0,WT,Bla-CT8,Bladder,No,No,Post,Abx-Bladder
P113SA1-S185,3025.0,50.0,45.0,0.0,0.0,0.0,0.0,19.0,14.0,30.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28221.0,0.0,WT,Bla-SA1,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA2-S186,4097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17993.0,0.0,WT,Bla-SA2,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA3-S187,5614.0,0.0,22.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25036.0,0.0,WT,Bla-SA3,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA4-S188,5283.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21136.0,0.0,WT,Bla-SA4,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA5-S189,3442.0,17.0,0.0,0.0,0.0,31.0,10.0,262.0,120.0,12.0,0.0,0.0,0.0,42.0,81.0,14.0,0.0,0.0,16.0,0.0,811.0,0.0,0.0,134.0,56.0,0.0,0.0,0.0,2.0,9.0,0.0,16070.0,54.0,WT,Bla-SA5,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA6-S190,3412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14101.0,0.0,WT,Bla-SA6,Bladder,Yes,Yes,Post,Abx-Bladder
P113SM1-S172,36.0,374.0,0.0,0.0,89.0,970.0,607.0,2913.0,4310.0,0.0,0.0,172.0,0.0,1502.0,1622.0,607.0,7.0,43.0,881.0,5.0,9480.0,48.0,30.0,2360.0,1041.0,19.0,23.0,39.0,46.0,723.0,288.0,20.0,1035.0,WT,Bla-SM1,Bladder,Yes,No,Post,Abx-Bladder
P113SM2-S173,52.0,728.0,0.0,0.0,64.0,1523.0,665.0,3724.0,2413.0,0.0,0.0,0.0,16.0,2339.0,1337.0,602.0,0.0,39.0,232.0,0.0,6215.0,15.0,18.0,1595.0,845.0,29.0,83.0,62.0,29.0,644.0,690.0,27.0,1550.0,WT,Bla-SM2,Bladder,Yes,No,Post,Abx-Bladder
P113SM3-S174,69.0,445.0,0.0,0.0,74.0,2204.0,742.0,3442.0,2272.0,0.0,0.0,685.0,0.0,2053.0,1639.0,626.0,13.0,35.0,714.0,3.0,5070.0,16.0,18.0,1146.0,715.0,40.0,25.0,22.0,34.0,130.0,367.0,0.0,926.0,WT,Bla-SM3,Bladder,Yes,No,Post,Abx-Bladder
P113SM4-S175,12.0,960.0,0.0,0.0,91.0,2713.0,1052.0,4287.0,4304.0,0.0,0.0,62.0,8.0,2325.0,2515.0,79.0,0.0,91.0,968.0,18.0,5690.0,89.0,31.0,1407.0,614.0,70.0,108.0,11.0,39.0,319.0,633.0,9.0,1270.0,WT,Bla-SM4,Bladder,Yes,No,Post,Abx-Bladder
P113SM5-S176,50.0,356.0,0.0,0.0,80.0,1946.0,712.0,4731.0,2466.0,0.0,0.0,22.0,14.0,1576.0,1784.0,736.0,47.0,54.0,408.0,9.0,8812.0,37.0,33.0,3005.0,1562.0,24.0,55.0,59.0,34.0,663.0,411.0,0.0,3468.0,WT,Bla-SM5,Bladder,Yes,No,Post,Abx-Bladder
P113SM6-S177,58.0,531.0,0.0,0.0,53.0,2270.0,611.0,3549.0,3158.0,0.0,0.0,114.0,0.0,1781.0,1766.0,145.0,0.0,104.0,1130.0,0.0,5175.0,62.0,0.0,802.0,469.0,28.0,180.0,25.0,11.0,588.0,125.0,0.0,1469.0,WT,Bla-SM6,Bladder,Yes,No,Post,Abx-Bladder
P113SM7-S178,57.0,338.0,0.0,0.0,27.0,2023.0,453.0,2802.0,2510.0,7.0,0.0,75.0,11.0,1677.0,487.0,1086.0,23.0,90.0,636.0,7.0,3737.0,44.0,12.0,684.0,200.0,23.0,83.0,27.0,22.0,1835.0,204.0,0.0,1276.0,WT,Bla-SM7,Bladder,Yes,No,Post,Abx-Bladder
P113SM8-S179,59.0,1022.0,0.0,0.0,56.0,2285.0,878.0,2677.0,3010.0,8.0,0.0,1048.0,0.0,1459.0,1892.0,1471.0,38.0,141.0,1035.0,17.0,4514.0,65.0,26.0,786.0,346.0,27.0,70.0,9.0,19.0,1698.0,322.0,57.0,1019.0,WT,Bla-SM8,Bladder,Yes,No,Post,Abx-Bladder
