index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Chlamydiaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,d__Eukaryota;p__Parabasalia;__;__;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
PostcntrFMT3-S118,0.0,566.0,16.0,98.0,2407.0,882.0,5913.0,371.0,2468.0,0.0,781.0,28.0,117.0,30.0,36.0,1189.0,1544.0,106.0,292.0,7.0,430.0,504.0,282.0,0.0,5758.0,5.0,89.0,1014.0,288.0,30.0,0.0,143.0,27.0,265.0,99.0,298.0,128.0,9.0,5.0,0.0,177.0,WT,FMT-CR3,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT4-S119,112.0,244.0,11.0,38.0,1864.0,437.0,4882.0,177.0,1108.0,0.0,2363.0,0.0,238.0,0.0,35.0,600.0,146.0,13.0,167.0,10.0,262.0,151.0,79.0,0.0,8757.0,0.0,160.0,2266.0,340.0,13.0,0.0,365.0,34.0,120.0,74.0,142.0,48.0,0.0,0.0,6.0,0.0,WT,FMT-CR4,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT5-S120,18.0,1008.0,87.0,126.0,3209.0,1846.0,16548.0,772.0,3848.0,0.0,565.0,0.0,262.0,0.0,23.0,3133.0,3878.0,87.0,219.0,18.0,798.0,1276.0,1096.0,0.0,9177.0,17.0,179.0,1514.0,591.0,24.0,0.0,153.0,19.0,435.0,246.0,388.0,146.0,0.0,0.0,0.0,0.0,WT,FMT-CR5,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT6-S121,19.0,921.0,42.0,97.0,4914.0,2454.0,11779.0,1254.0,7311.0,0.0,1672.0,0.0,188.0,78.0,111.0,1064.0,3921.0,229.0,324.0,37.0,473.0,1769.0,873.0,5.0,10500.0,11.0,156.0,1984.0,888.0,11.0,0.0,384.0,53.0,250.0,491.0,349.0,103.0,0.0,0.0,0.0,6.0,WT,FMT-CR6,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT7-S122,174.0,1090.0,51.0,177.0,1715.0,2171.0,14666.0,365.0,2607.0,0.0,824.0,0.0,999.0,0.0,11.0,2503.0,1229.0,45.0,454.0,0.0,762.0,732.0,508.0,0.0,12588.0,11.0,199.0,1939.0,489.0,15.0,0.0,286.0,58.0,301.0,408.0,7.0,410.0,0.0,0.0,12.0,0.0,WT,FMT-CR7,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT8-S123,3.0,705.0,102.0,159.0,6415.0,1344.0,12425.0,1143.0,5866.0,0.0,5650.0,0.0,127.0,5.0,64.0,1595.0,3458.0,114.0,201.0,38.0,627.0,1196.0,39.0,17.0,10581.0,0.0,325.0,1842.0,643.0,48.0,0.0,164.0,57.0,158.0,592.0,1352.0,205.0,0.0,0.0,40.0,0.0,WT,FMT-CR8,Pancreatic,No,Recipient,Post,Smoke-FMT
PostsmkFMT1-S124,0.0,1211.0,550.0,41.0,3338.0,763.0,7486.0,7392.0,4666.0,1992.0,6439.0,3913.0,978.0,0.0,68.0,670.0,2109.0,69.0,0.0,0.0,220.0,866.0,0.0,0.0,4981.0,0.0,207.0,977.0,324.0,15.0,0.0,174.0,96.0,0.0,54.0,1173.0,884.0,34.0,385.0,0.0,8816.0,WT,FMT-SR1,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT10-S133,26.0,2158.0,323.0,115.0,6434.0,743.0,7993.0,6565.0,5421.0,1036.0,3628.0,113.0,644.0,0.0,24.0,365.0,2399.0,117.0,81.0,0.0,177.0,582.0,0.0,0.0,10280.0,4.0,415.0,1254.0,938.0,17.0,0.0,474.0,89.0,0.0,661.0,7.0,801.0,454.0,141.0,0.0,5884.0,WT,FMT-SR10,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT2-S125,20.0,1197.0,296.0,117.0,7482.0,415.0,7276.0,7077.0,3270.0,1011.0,1525.0,23.0,672.0,0.0,104.0,379.0,2016.0,127.0,34.0,0.0,189.0,333.0,0.0,0.0,7749.0,6.0,384.0,1317.0,735.0,31.0,0.0,441.0,88.0,0.0,433.0,0.0,1289.0,187.0,20.0,0.0,1383.0,WT,FMT-SR2,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT3-S126,5.0,3538.0,1210.0,76.0,5784.0,147.0,9331.0,2889.0,2081.0,552.0,387.0,39.0,391.0,0.0,264.0,3861.0,5197.0,421.0,0.0,0.0,5.0,68.0,0.0,0.0,11104.0,0.0,188.0,400.0,329.0,0.0,0.0,117.0,31.0,0.0,61.0,4.0,2021.0,106.0,5.0,0.0,341.0,WT,FMT-SR3,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT4-S127,0.0,961.0,414.0,15.0,8079.0,188.0,7233.0,7403.0,5046.0,1176.0,1452.0,141.0,277.0,0.0,6.0,1580.0,3193.0,163.0,0.0,0.0,15.0,31.0,0.0,0.0,2322.0,0.0,126.0,324.0,121.0,18.0,0.0,46.0,22.0,0.0,23.0,23.0,1481.0,26.0,5.0,135.0,477.0,WT,FMT-SR4,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT5-S128,45.0,3010.0,551.0,73.0,3417.0,295.0,15308.0,6011.0,2869.0,620.0,2233.0,489.0,978.0,0.0,8.0,903.0,5413.0,380.0,8.0,0.0,163.0,60.0,0.0,0.0,9243.0,0.0,324.0,796.0,952.0,20.0,0.0,281.0,89.0,0.0,232.0,0.0,2419.0,303.0,127.0,0.0,5503.0,WT,FMT-SR5,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT6-S129,9.0,2115.0,540.0,0.0,5668.0,431.0,8470.0,6929.0,3639.0,1307.0,5096.0,3125.0,598.0,0.0,78.0,436.0,5076.0,169.0,52.0,0.0,73.0,199.0,0.0,0.0,9197.0,0.0,400.0,1089.0,631.0,0.0,0.0,360.0,86.0,0.0,120.0,11.0,1352.0,42.0,225.0,0.0,9091.0,WT,FMT-SR6,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT7-S130,6.0,823.0,33.0,0.0,2221.0,470.0,2719.0,2506.0,4005.0,1146.0,6235.0,0.0,663.0,0.0,0.0,90.0,654.0,12.0,0.0,0.0,0.0,81.0,0.0,0.0,10657.0,0.0,345.0,638.0,644.0,12.0,0.0,217.0,99.0,0.0,22.0,312.0,85.0,408.0,63.0,0.0,3727.0,WT,FMT-SR7,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT8-S131,6.0,378.0,211.0,33.0,6297.0,438.0,3477.0,6924.0,4143.0,1792.0,4454.0,826.0,583.0,0.0,380.0,587.0,615.0,184.0,0.0,0.0,73.0,92.0,0.0,0.0,10659.0,0.0,266.0,699.0,231.0,13.0,0.0,396.0,57.0,0.0,51.0,688.0,260.0,98.0,6.0,0.0,469.0,WT,FMT-SR8,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT9-S132,20.0,2217.0,134.0,57.0,6056.0,211.0,8063.0,6080.0,2420.0,568.0,2756.0,619.0,415.0,0.0,35.0,225.0,7092.0,172.0,0.0,0.0,62.0,196.0,222.0,0.0,9234.0,0.0,296.0,588.0,842.0,0.0,0.0,300.0,51.0,0.0,154.0,0.0,750.0,667.0,15.0,0.0,1133.0,WT,FMT-SR9,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PrecntrlFMT1-S100,40.0,484.0,30.0,88.0,4038.0,2830.0,12588.0,616.0,5494.0,20.0,8200.0,0.0,1377.0,8.0,6.0,1015.0,2189.0,14.0,442.0,11.0,144.0,1155.0,64.0,4.0,14125.0,0.0,469.0,1727.0,837.0,17.0,2.0,769.0,90.0,478.0,515.0,166.0,121.0,0.0,0.0,1049.0,42.0,WT,FMT-CR1,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT2-S101,76.0,1290.0,33.0,113.0,4859.0,1335.0,13315.0,938.0,3326.0,187.0,4772.0,10.0,753.0,54.0,62.0,1066.0,2259.0,44.0,872.0,21.0,1155.0,436.0,124.0,0.0,14548.0,3.0,239.0,2135.0,967.0,22.0,0.0,412.0,90.0,284.0,364.0,33.0,209.0,30.0,8.0,105.0,583.0,WT,FMT-CR2,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT3-S102,0.0,519.0,35.0,88.0,3233.0,1480.0,12172.0,706.0,4087.0,9.0,1493.0,0.0,324.0,46.0,12.0,1212.0,3703.0,166.0,436.0,12.0,458.0,630.0,106.0,0.0,9519.0,7.0,130.0,891.0,344.0,26.0,0.0,134.0,26.0,259.0,241.0,69.0,72.0,0.0,2.0,6.0,7.0,WT,FMT-CR3,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT4-S103,19.0,896.0,48.0,100.0,3270.0,2526.0,8953.0,841.0,4784.0,0.0,1683.0,0.0,164.0,56.0,50.0,1113.0,2569.0,117.0,931.0,8.0,733.0,1267.0,164.0,0.0,10296.0,0.0,124.0,678.0,265.0,16.0,0.0,130.0,10.0,636.0,502.0,64.0,111.0,0.0,0.0,9.0,40.0,WT,FMT-CR4,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT5-S104,56.0,857.0,35.0,180.0,4237.0,2445.0,16775.0,1084.0,4470.0,0.0,6583.0,0.0,2097.0,187.0,33.0,1813.0,2502.0,34.0,202.0,4.0,1045.0,874.0,58.0,9.0,11491.0,16.0,179.0,1142.0,760.0,11.0,0.0,453.0,131.0,632.0,777.0,94.0,118.0,0.0,0.0,103.0,0.0,WT,FMT-CR5,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT6-S105,473.0,1290.0,37.0,174.0,5665.0,1885.0,15433.0,494.0,3036.0,0.0,1715.0,0.0,938.0,4.0,67.0,2187.0,2951.0,74.0,142.0,7.0,199.0,376.0,737.0,0.0,16006.0,0.0,221.0,2650.0,898.0,32.0,0.0,387.0,109.0,618.0,1066.0,92.0,301.0,0.0,0.0,30.0,0.0,WT,FMT-CR6,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT7-S106,63.0,896.0,65.0,126.0,6013.0,2018.0,10431.0,636.0,5168.0,0.0,853.0,0.0,304.0,0.0,57.0,2498.0,1971.0,161.0,273.0,15.0,146.0,1604.0,228.0,0.0,8887.0,6.0,200.0,1629.0,467.0,32.0,0.0,247.0,38.0,926.0,484.0,1586.0,106.0,0.0,0.0,11.0,0.0,WT,FMT-CR7,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT8-S107,40.0,864.0,56.0,152.0,2387.0,3304.0,12099.0,589.0,4165.0,0.0,836.0,0.0,1739.0,26.0,5.0,1173.0,2524.0,64.0,465.0,10.0,235.0,669.0,154.0,0.0,11845.0,0.0,106.0,1547.0,622.0,23.0,0.0,363.0,137.0,523.0,431.0,71.0,200.0,0.0,0.0,77.0,0.0,WT,FMT-CR8,Pancreatic,No,Recipient,Pre,Smoke-FMT
PresmokeFMT1-S108,46.0,948.0,68.0,73.0,3442.0,110.0,3442.0,1750.0,3267.0,330.0,3455.0,752.0,171.0,0.0,0.0,514.0,2156.0,21.0,16.0,0.0,0.0,230.0,0.0,5.0,8204.0,11.0,287.0,1205.0,840.0,13.0,26.0,226.0,91.0,20.0,0.0,0.0,380.0,147.0,298.0,11.0,5569.0,WT,FMT-SR1,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT2-S109,43.0,761.0,86.0,94.0,3676.0,234.0,4757.0,2852.0,3371.0,363.0,2333.0,288.0,628.0,3.0,11.0,446.0,3192.0,134.0,11.0,0.0,0.0,108.0,0.0,0.0,13188.0,0.0,250.0,968.0,757.0,0.0,0.0,215.0,77.0,3.0,0.0,0.0,494.0,268.0,12.0,0.0,1494.0,WT,FMT-SR2,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT3-S110,7.0,751.0,44.0,53.0,2659.0,139.0,3595.0,1768.0,2010.0,389.0,3800.0,486.0,477.0,12.0,0.0,246.0,3295.0,65.0,55.0,0.0,0.0,129.0,0.0,0.0,8857.0,0.0,229.0,772.0,537.0,5.0,7.0,175.0,68.0,11.0,0.0,0.0,467.0,74.0,32.0,12.0,1468.0,WT,FMT-SR3,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT4-S111,74.0,702.0,113.0,76.0,4223.0,202.0,3473.0,4052.0,2477.0,799.0,3987.0,32.0,657.0,20.0,0.0,413.0,2873.0,25.0,42.0,0.0,0.0,40.0,0.0,0.0,10186.0,0.0,327.0,530.0,1045.0,0.0,0.0,291.0,46.0,0.0,0.0,29.0,299.0,185.0,64.0,0.0,3872.0,WT,FMT-SR4,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT5-S112,30.0,1282.0,30.0,67.0,5879.0,554.0,4443.0,2355.0,4025.0,1162.0,5529.0,242.0,551.0,0.0,0.0,558.0,2773.0,169.0,0.0,0.0,0.0,197.0,0.0,0.0,7884.0,11.0,24.0,999.0,652.0,0.0,0.0,266.0,41.0,0.0,0.0,0.0,215.0,326.0,136.0,0.0,4352.0,WT,FMT-SR5,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT6-S113,9.0,1789.0,17.0,68.0,6170.0,627.0,3723.0,1703.0,3141.0,873.0,4085.0,28.0,270.0,0.0,0.0,625.0,1601.0,46.0,46.0,0.0,100.0,537.0,0.0,0.0,8406.0,0.0,25.0,676.0,369.0,12.0,0.0,112.0,26.0,15.0,22.0,41.0,147.0,162.0,29.0,19.0,1166.0,WT,FMT-SR6,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT7-S114,0.0,1596.0,58.0,96.0,3475.0,348.0,4997.0,1775.0,2423.0,371.0,3203.0,172.0,255.0,0.0,13.0,713.0,6101.0,86.0,51.0,0.0,25.0,98.0,8.0,0.0,8698.0,9.0,164.0,656.0,448.0,3.0,0.0,118.0,45.0,0.0,37.0,5.0,731.0,88.0,0.0,0.0,466.0,WT,FMT-SR7,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT8-S115,15.0,464.0,83.0,74.0,2931.0,273.0,2972.0,1189.0,2265.0,329.0,2941.0,96.0,248.0,4.0,23.0,487.0,2411.0,81.0,40.0,0.0,14.0,102.0,4.0,0.0,10970.0,0.0,100.0,395.0,343.0,2.0,0.0,145.0,14.0,20.0,23.0,0.0,264.0,135.0,23.0,0.0,1253.0,WT,FMT-SR8,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
Smokedonor1-S92,31.0,1044.0,6.0,158.0,4094.0,532.0,10818.0,203.0,2716.0,0.0,818.0,0.0,206.0,16.0,16.0,2004.0,2181.0,16.0,918.0,0.0,339.0,771.0,31.0,7.0,11876.0,0.0,95.0,2827.0,636.0,62.0,146.0,123.0,60.0,124.0,81.0,13.0,440.0,0.0,0.0,225.0,0.0,WT,FMT-SD1,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor2-S93,9.0,217.0,0.0,38.0,3657.0,31.0,5198.0,8.0,2380.0,0.0,13.0,0.0,11.0,1032.0,0.0,547.0,450.0,0.0,649.0,0.0,162.0,513.0,0.0,0.0,10601.0,14.0,31.0,2165.0,1074.0,27.0,139.0,82.0,18.0,53.0,5.0,0.0,226.0,0.0,0.0,3.0,0.0,WT,FMT-SD2,NA,Yes,Donor,NA,Smoke-FMT
