sample-id,absolute-filepath,direction
ControlDonor8-S91,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor8_S91_R1_001.fastq.gz,forward
ControlDonor8-S91,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor8_S91_R2_001.fastq.gz,reverse
FMTcancerdonor1-S240,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor1_S240_R1_001.fastq.gz,forward
FMTcancerdonor1-S240,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor1_S240_R2_001.fastq.gz,reverse
FMTcancerdonor2-S241,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor2_S241_R1_001.fastq.gz,forward
FMTcancerdonor2-S241,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor2_S241_R2_001.fastq.gz,reverse
FMTcancerdonor3-S242,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor3_S242_R1_001.fastq.gz,forward
FMTcancerdonor3-S242,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor3_S242_R2_001.fastq.gz,reverse
FMTcancerdonor4-S243,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor4_S243_R1_001.fastq.gz,forward
FMTcancerdonor4-S243,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor4_S243_R2_001.fastq.gz,reverse
FMTcancerdonor5-S244,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor5_S244_R1_001.fastq.gz,forward
FMTcancerdonor5-S244,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor5_S244_R2_001.fastq.gz,reverse
FMTcancerdonor6-S245,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor6_S245_R1_001.fastq.gz,forward
FMTcancerdonor6-S245,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor6_S245_R2_001.fastq.gz,reverse
FMTcancerdonor7-S246,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor7_S246_R1_001.fastq.gz,forward
FMTcancerdonor7-S246,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMTcancerdonor7_S246_R2_001.fastq.gz,reverse
FMThealthdonor1-S231,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor1_S231_R1_001.fastq.gz,forward
FMThealthdonor1-S231,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor1_S231_R2_001.fastq.gz,reverse
FMThealthdonor2-S232,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor2_S232_R1_001.fastq.gz,forward
FMThealthdonor2-S232,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor2_S232_R2_001.fastq.gz,reverse
FMThealthdonor3-S233,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor3_S233_R1_001.fastq.gz,forward
FMThealthdonor3-S233,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor3_S233_R2_001.fastq.gz,reverse
FMThealthdonor4-S234,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor4_S234_R1_001.fastq.gz,forward
FMThealthdonor4-S234,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor4_S234_R2_001.fastq.gz,reverse
FMThealthdonor5-S235,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor5_S235_R1_001.fastq.gz,forward
FMThealthdonor5-S235,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor5_S235_R2_001.fastq.gz,reverse
FMThealthdonor6-S236,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor6_S236_R1_001.fastq.gz,forward
FMThealthdonor6-S236,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor6_S236_R2_001.fastq.gz,reverse
FMThealthdonor7-S237,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor7_S237_R1_001.fastq.gz,forward
FMThealthdonor7-S237,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/FMThealthdonor7_S237_R2_001.fastq.gz,reverse
Largweek01-S247,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek01_S247_R1_001.fastq.gz,forward
Largweek01-S247,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek01_S247_R2_001.fastq.gz,reverse
Largweek02-S248,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek02_S248_R1_001.fastq.gz,forward
Largweek02-S248,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek02_S248_R2_001.fastq.gz,reverse
Largweek03-S249,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek03_S249_R1_001.fastq.gz,forward
Largweek03-S249,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek03_S249_R2_001.fastq.gz,reverse
Largweek04-S250,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek04_S250_R1_001.fastq.gz,forward
Largweek04-S250,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek04_S250_R2_001.fastq.gz,reverse
Largweek05-S251,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek05_S251_R1_001.fastq.gz,forward
Largweek05-S251,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek05_S251_R2_001.fastq.gz,reverse
Largweek06-S252,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek06_S252_R1_001.fastq.gz,forward
Largweek06-S252,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek06_S252_R2_001.fastq.gz,reverse
Largweek07-S253,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek07_S253_R1_001.fastq.gz,forward
Largweek07-S253,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek07_S253_R2_001.fastq.gz,reverse
Largweek08-S254,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek08_S254_R1_001.fastq.gz,forward
Largweek08-S254,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek08_S254_R2_001.fastq.gz,reverse
Largweek21-S255,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek21_S255_R1_001.fastq.gz,forward
Largweek21-S255,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek21_S255_R2_001.fastq.gz,reverse
Largweek22-S256,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek22_S256_R1_001.fastq.gz,forward
Largweek22-S256,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek22_S256_R2_001.fastq.gz,reverse
Largweek23-S257,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek23_S257_R1_001.fastq.gz,forward
Largweek23-S257,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek23_S257_R2_001.fastq.gz,reverse
Largweek24-S258,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek24_S258_R1_001.fastq.gz,forward
Largweek24-S258,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek24_S258_R2_001.fastq.gz,reverse
Largweek25-S259,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek25_S259_R1_001.fastq.gz,forward
Largweek25-S259,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek25_S259_R2_001.fastq.gz,reverse
Largweek26-S260,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek26_S260_R1_001.fastq.gz,forward
Largweek26-S260,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek26_S260_R2_001.fastq.gz,reverse
Largweek27-S261,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek27_S261_R1_001.fastq.gz,forward
Largweek27-S261,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek27_S261_R2_001.fastq.gz,reverse
Largweek41-S262,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek41_S262_R1_001.fastq.gz,forward
Largweek41-S262,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek41_S262_R2_001.fastq.gz,reverse
Largweek42-S263,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek42_S263_R1_001.fastq.gz,forward
Largweek42-S263,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek42_S263_R2_001.fastq.gz,reverse
Largweek43-S264,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek43_S264_R1_001.fastq.gz,forward
Largweek43-S264,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek43_S264_R2_001.fastq.gz,reverse
Largweek44-S265,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek44_S265_R1_001.fastq.gz,forward
Largweek44-S265,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek44_S265_R2_001.fastq.gz,reverse
Largweek45-S266,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek45_S266_R1_001.fastq.gz,forward
Largweek45-S266,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek45_S266_R2_001.fastq.gz,reverse
Largweek46-S267,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek46_S267_R1_001.fastq.gz,forward
Largweek46-S267,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek46_S267_R2_001.fastq.gz,reverse
Largweek47-S268,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek47_S268_R1_001.fastq.gz,forward
Largweek47-S268,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek47_S268_R2_001.fastq.gz,reverse
Largweek48-S269,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek48_S269_R1_001.fastq.gz,forward
Largweek48-S269,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Largweek48_S269_R2_001.fastq.gz,reverse
postAV2week1-S155,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week1_S155_R1_001.fastq.gz,forward
postAV2week1-S155,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week1_S155_R2_001.fastq.gz,reverse
postAV2week2-S156,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week2_S156_R1_001.fastq.gz,forward
postAV2week2-S156,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week2_S156_R2_001.fastq.gz,reverse
postAV2week3-S157,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week3_S157_R1_001.fastq.gz,forward
postAV2week3-S157,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week3_S157_R2_001.fastq.gz,reverse
postAV2week4-S158,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week4_S158_R1_001.fastq.gz,forward
postAV2week4-S158,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week4_S158_R2_001.fastq.gz,reverse
postAV2week5-S159,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week5_S159_R1_001.fastq.gz,forward
postAV2week5-S159,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week5_S159_R2_001.fastq.gz,reverse
postAV2week6-S160,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week6_S160_R1_001.fastq.gz,forward
postAV2week6-S160,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postAV2week6_S160_R2_001.fastq.gz,reverse
PostcntrFMT1-S116,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT1_S116_R1_001.fastq.gz,forward
PostcntrFMT1-S116,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT1_S116_R2_001.fastq.gz,reverse
PostcntrFMT2-S117,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT2_S117_R1_001.fastq.gz,forward
PostcntrFMT2-S117,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT2_S117_R2_001.fastq.gz,reverse
PostcntrFMT3-S118,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT3_S118_R1_001.fastq.gz,forward
PostcntrFMT3-S118,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT3_S118_R2_001.fastq.gz,reverse
PostcntrFMT4-S119,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT4_S119_R1_001.fastq.gz,forward
PostcntrFMT4-S119,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT4_S119_R2_001.fastq.gz,reverse
PostcntrFMT5-S120,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT5_S120_R1_001.fastq.gz,forward
PostcntrFMT5-S120,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT5_S120_R2_001.fastq.gz,reverse
PostcntrFMT6-S121,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT6_S121_R1_001.fastq.gz,forward
PostcntrFMT6-S121,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT6_S121_R2_001.fastq.gz,reverse
PostcntrFMT7-S122,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT7_S122_R1_001.fastq.gz,forward
PostcntrFMT7-S122,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT7_S122_R2_001.fastq.gz,reverse
PostcntrFMT8-S123,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT8_S123_R1_001.fastq.gz,forward
PostcntrFMT8-S123,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/PostcntrFMT8_S123_R2_001.fastq.gz,reverse
postFMTcancer1-S199,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer1_S199_R1_001.fastq.gz,forward
postFMTcancer1-S199,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer1_S199_R2_001.fastq.gz,reverse
postFMTcancer2-S200,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer2_S200_R1_001.fastq.gz,forward
postFMTcancer2-S200,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer2_S200_R2_001.fastq.gz,reverse
postFMTcancer3-S201,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer3_S201_R1_001.fastq.gz,forward
postFMTcancer3-S201,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer3_S201_R2_001.fastq.gz,reverse
postFMTcancer4-S202,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer4_S202_R1_001.fastq.gz,forward
postFMTcancer4-S202,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer4_S202_R2_001.fastq.gz,reverse
postFMTcancer5-S203,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer5_S203_R1_001.fastq.gz,forward
postFMTcancer5-S203,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer5_S203_R2_001.fastq.gz,reverse
postFMTcancer6-S204,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer6_S204_R1_001.fastq.gz,forward
postFMTcancer6-S204,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer6_S204_R2_001.fastq.gz,reverse
postFMTcancer7-S205,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer7_S205_R1_001.fastq.gz,forward
postFMTcancer7-S205,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer7_S205_R2_001.fastq.gz,reverse
postFMTcancer8-S206,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer8_S206_R1_001.fastq.gz,forward
postFMTcancer8-S206,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer8_S206_R2_001.fastq.gz,reverse
postFMTcancer9-S207,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer9_S207_R1_001.fastq.gz,forward
postFMTcancer9-S207,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer9_S207_R2_001.fastq.gz,reverse
postFMTcancer10-S208,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer10_S208_R1_001.fastq.gz,forward
postFMTcancer10-S208,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMTcancer10_S208_R2_001.fastq.gz,reverse
postFMThealth1-S183,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMThealth1_S183_R1_001.fastq.gz,forward
postFMThealth1-S183,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMThealth1_S183_R2_001.fastq.gz,reverse
postFMThealth2-S184,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMThealth2_S184_R1_001.fastq.gz,forward
postFMThealth2-S184,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMThealth2_S184_R2_001.fastq.gz,reverse
postFMThealth3-S185,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMThealth3_S185_R1_001.fastq.gz,forward
postFMThealth3-S185,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/postFMThealth3_S185_R2_001.fastq.gz,reverse
