index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Chlamydiaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,d__Eukaryota;p__Parabasalia;__;__;__,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
B3-S12,66.0,2685.0,428.0,1395.0,10547.0,844.0,19266.0,7463.0,5112.0,1720.0,1211.0,131.0,96.0,0.0,2340.0,9922.0,0.0,28929.0,0.0,125.0,676.0,35.0,917.0,44.0,456.0,24.0,10477.0,11.0,379.0,2190.0,550.0,0.0,0.0,59.0,127.0,0.0,318.0,244.0,1798.0,0.0,43.0,285.0,3.0,0.0,44.0,WT,NNKRec3,Yes,Recipient,Post,NNK-FMT
B4-S13,0.0,8444.0,63.0,959.0,7355.0,466.0,18308.0,9396.0,1676.0,1521.0,1439.0,248.0,117.0,566.0,164.0,8066.0,0.0,24979.0,0.0,260.0,0.0,20.0,311.0,95.0,304.0,7.0,8267.0,18.0,184.0,1327.0,485.0,0.0,0.0,58.0,193.0,0.0,67.0,0.0,977.0,0.0,85.0,70.0,7.0,0.0,102.0,WT,NNKRec4,Yes,Recipient,Post,NNK-FMT
B5-S14,69.0,6181.0,509.0,913.0,7534.0,303.0,19131.0,8929.0,2374.0,1533.0,1961.0,498.0,169.0,1303.0,116.0,13614.0,0.0,16849.0,0.0,28.0,0.0,54.0,66.0,103.0,545.0,17.0,12248.0,10.0,320.0,1632.0,663.0,16.0,0.0,65.0,205.0,0.0,115.0,8.0,964.0,0.0,17.0,104.0,21.0,8.0,361.0,WT,NNKRec5,Yes,Recipient,Post,NNK-FMT
B6-S15,12.0,2036.0,168.0,1006.0,5018.0,908.0,11778.0,6896.0,3290.0,982.0,3705.0,228.0,113.0,0.0,536.0,3650.0,0.0,17962.0,0.0,12.0,193.0,0.0,1147.0,179.0,478.0,8.0,10535.0,5.0,312.0,2198.0,684.0,0.0,0.0,89.0,92.0,0.0,672.0,4.0,563.0,0.0,8.0,676.0,7.0,0.0,71.0,WT,NNKRec6,Yes,Recipient,Post,NNK-FMT
B7-S16,28.0,4797.0,74.0,1162.0,9368.0,742.0,20707.0,10553.0,3445.0,1907.0,3680.0,481.0,447.0,1346.0,200.0,5704.0,0.0,18251.0,0.0,246.0,0.0,108.0,3738.0,165.0,429.0,35.0,15450.0,0.0,498.0,3096.0,670.0,0.0,0.0,321.0,344.0,0.0,500.0,16.0,421.0,0.0,0.0,70.0,17.0,43.0,241.0,WT,NNKRec7,Yes,Recipient,Post,NNK-FMT
B8-S17,5.0,5788.0,60.0,1701.0,11722.0,1022.0,15424.0,10601.0,3925.0,3027.0,2226.0,713.0,703.0,518.0,67.0,763.0,0.0,26769.0,0.0,4.0,0.0,44.0,374.0,148.0,0.0,18.0,13974.0,19.0,157.0,2588.0,1064.0,0.0,0.0,138.0,300.0,0.0,260.0,40.0,1354.0,0.0,117.0,570.0,57.0,0.0,1060.0,WT,NNKRec8,Yes,Recipient,Post,NNK-FMT
B9-S18,21.0,1096.0,582.0,1990.0,13404.0,664.0,19190.0,9102.0,6556.0,2963.0,2102.0,156.0,96.0,0.0,648.0,5662.0,0.0,20886.0,0.0,117.0,0.0,51.0,5.0,14.0,292.0,22.0,9856.0,10.0,166.0,1509.0,464.0,185.0,0.0,54.0,68.0,0.0,41.0,0.0,2109.0,0.0,32.0,979.0,12.0,0.0,52.0,WT,NNKRec9,Yes,Recipient,Post,NNK-FMT
C1-S20,0.0,3071.0,1616.0,408.0,13426.0,0.0,20626.0,0.0,0.0,0.0,0.0,0.0,277.0,220.0,0.0,2762.0,713.0,11592.0,0.0,0.0,0.0,594.0,0.0,22.0,0.0,0.0,32168.0,0.0,0.0,16.0,961.0,0.0,0.0,0.0,44.0,0.0,0.0,3312.0,1182.0,558.0,0.0,0.0,4.0,16646.0,19.0,WT,NNKRec1,Yes,Recipient,Pre,NNK-FMT
C10-S29,945.0,6839.0,4118.0,2699.0,4448.0,0.0,46051.0,5.0,419.0,0.0,0.0,0.0,2836.0,452.0,397.0,45159.0,0.0,18888.0,0.0,31.0,26.0,52.0,0.0,199.0,0.0,19.0,24534.0,0.0,608.0,2363.0,575.0,0.0,268.0,321.0,246.0,0.0,0.0,889.0,2831.0,0.0,4.0,147.0,566.0,12863.0,8707.0,WT,NNKRec10,Yes,Recipient,Pre,NNK-FMT
C2-S21,0.0,2843.0,1536.0,276.0,15872.0,0.0,18044.0,0.0,0.0,0.0,0.0,0.0,168.0,158.0,0.0,1739.0,1004.0,8816.0,0.0,0.0,0.0,502.0,0.0,403.0,0.0,0.0,29434.0,0.0,0.0,4.0,345.0,0.0,0.0,0.0,11.0,0.0,0.0,9249.0,1216.0,431.0,0.0,0.0,0.0,22528.0,13.0,WT,NNKRec2,Yes,Recipient,Pre,NNK-FMT
C3-S22,107.0,1979.0,2012.0,1295.0,3477.0,0.0,16104.0,0.0,15.0,0.0,0.0,0.0,600.0,145.0,651.0,17185.0,0.0,2904.0,0.0,8.0,0.0,78.0,2.0,77.0,0.0,0.0,12864.0,0.0,69.0,291.0,826.0,0.0,349.0,0.0,16.0,0.0,0.0,1569.0,1615.0,0.0,0.0,82.0,57.0,9795.0,543.0,WT,NNKRec3,Yes,Recipient,Pre,NNK-FMT
C4-S23,851.0,2736.0,1569.0,2703.0,9494.0,0.0,33081.0,0.0,219.0,0.0,0.0,0.0,2330.0,190.0,1031.0,30196.0,0.0,6708.0,0.0,0.0,526.0,123.0,940.0,153.0,0.0,49.0,27501.0,0.0,361.0,1727.0,1698.0,0.0,236.0,192.0,546.0,0.0,0.0,465.0,1087.0,0.0,0.0,127.0,77.0,12076.0,1039.0,WT,NNKRec4,Yes,Recipient,Pre,NNK-FMT
C5-S24,136.0,4883.0,4140.0,1745.0,10505.0,0.0,31806.0,7.0,9.0,0.0,0.0,0.0,1246.0,855.0,885.0,23756.0,442.0,13189.0,0.0,0.0,0.0,464.0,0.0,282.0,0.0,0.0,27139.0,0.0,0.0,356.0,473.0,0.0,12.0,0.0,0.0,0.0,0.0,4405.0,4174.0,183.0,158.0,153.0,17.0,22794.0,242.0,WT,NNKRec5,Yes,Recipient,Pre,NNK-FMT
C6-S25,105.0,5814.0,2905.0,2366.0,6641.0,0.0,34022.0,0.0,0.0,0.0,0.0,0.0,478.0,616.0,921.0,30345.0,199.0,7158.0,0.0,46.0,0.0,264.0,0.0,78.0,0.0,0.0,25255.0,0.0,21.0,265.0,798.0,0.0,238.0,0.0,6.0,0.0,0.0,3119.0,3202.0,0.0,0.0,53.0,7.0,13317.0,69.0,WT,NNKRec6,Yes,Recipient,Pre,NNK-FMT
C7-S26,0.0,3441.0,2952.0,561.0,17763.0,0.0,26936.0,0.0,3.0,0.0,0.0,0.0,369.0,258.0,0.0,6102.0,761.0,16889.0,0.0,0.0,0.0,1066.0,0.0,192.0,0.0,0.0,41723.0,0.0,0.0,41.0,1130.0,0.0,0.0,0.0,61.0,0.0,0.0,3423.0,1902.0,644.0,0.0,0.0,0.0,25423.0,20.0,WT,NNKRec7,Yes,Recipient,Pre,NNK-FMT
C8-S27,68.0,3857.0,4018.0,999.0,24566.0,0.0,35490.0,4.0,0.0,0.0,0.0,0.0,6669.0,1864.0,17.0,7759.0,1264.0,9003.0,0.0,0.0,0.0,1263.0,0.0,2955.0,0.0,0.0,53619.0,0.0,0.0,547.0,2593.0,0.0,0.0,0.0,779.0,0.0,0.0,6392.0,2869.0,1060.0,17.0,0.0,338.0,35391.0,5056.0,WT,NNKRec8,Yes,Recipient,Pre,NNK-FMT
C9-S28,0.0,4953.0,5876.0,922.0,21292.0,0.0,39388.0,0.0,0.0,0.0,0.0,0.0,5108.0,127.0,0.0,9987.0,647.0,19116.0,0.0,0.0,0.0,574.0,0.0,337.0,0.0,0.0,50181.0,0.0,0.0,19.0,929.0,0.0,0.0,0.0,342.0,0.0,0.0,4083.0,2525.0,480.0,4.0,0.0,557.0,31104.0,5646.0,WT,NNKRec9,Yes,Recipient,Pre,NNK-FMT
D1-S30,0.0,0.0,0.0,1922.0,31323.0,0.0,26684.0,0.0,5021.0,0.0,0.0,0.0,0.0,0.0,947.0,1020.0,12.0,5099.0,0.0,0.0,0.0,0.0,0.0,1248.0,0.0,0.0,58000.0,0.0,13.0,8453.0,3187.0,195.0,1557.0,92.0,464.0,562.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,20682.0,0.0,WT,Donor1,Yes,Donor,NA,NNK-FMT
D10-S39,0.0,31.0,0.0,2956.0,2215.0,248.0,9647.0,9361.0,7448.0,301.0,8668.0,2202.0,636.0,0.0,216.0,889.0,0.0,47881.0,172.0,48.0,0.0,24.0,85.0,359.0,2173.0,5.0,61765.0,47.0,1192.0,4684.0,6407.0,72.0,0.0,441.0,576.0,0.0,870.0,0.0,47.0,0.0,0.0,111.0,966.0,0.0,12645.0,WT,Donor10,Yes,Donor,NA,NNK-FMT
D2-S31,0.0,0.0,0.0,1262.0,38841.0,0.0,24932.0,0.0,4949.0,0.0,0.0,0.0,0.0,0.0,95.0,61.0,29.0,39336.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,36256.0,0.0,23.0,4915.0,2221.0,0.0,34.0,109.0,315.0,123.0,0.0,0.0,893.0,0.0,0.0,0.0,0.0,72.0,0.0,WT,Donor2,Yes,Donor,NA,NNK-FMT
D3-S32,0.0,0.0,0.0,2034.0,38887.0,0.0,29817.0,0.0,2448.0,0.0,0.0,0.0,0.0,0.0,431.0,55.0,0.0,45162.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,37589.0,0.0,0.0,3417.0,1744.0,0.0,0.0,116.0,395.0,161.0,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,135.0,0.0,WT,Donor3,Yes,Donor,NA,NNK-FMT
D4-S33,0.0,7.0,164.0,1561.0,9893.0,0.0,24609.0,0.0,4261.0,0.0,0.0,0.0,0.0,0.0,222.0,12117.0,0.0,46118.0,0.0,0.0,1025.0,62.0,5331.0,527.0,1854.0,0.0,22068.0,0.0,47.0,2108.0,3532.0,203.0,674.0,65.0,203.0,1522.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,15589.0,0.0,WT,Donor4,Yes,Donor,NA,NNK-FMT
D5-S34,0.0,0.0,0.0,1089.0,18216.0,0.0,20981.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1099.0,16818.0,0.0,15185.0,0.0,0.0,1324.0,0.0,3807.0,1769.0,352.0,0.0,18992.0,0.0,172.0,4945.0,5076.0,444.0,1872.0,57.0,307.0,1106.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,9.0,0.0,WT,Donor5,Yes,Donor,NA,NNK-FMT
D6-S35,0.0,0.0,19.0,1066.0,21764.0,0.0,25444.0,0.0,4040.0,0.0,0.0,0.0,0.0,45.0,1503.0,10313.0,0.0,31372.0,0.0,0.0,622.0,83.0,9812.0,134.0,1541.0,0.0,20972.0,0.0,40.0,2386.0,6090.0,90.0,1966.0,105.0,190.0,1975.0,0.0,2.0,726.0,0.0,0.0,0.0,0.0,30132.0,0.0,WT,Donor6,Yes,Donor,NA,NNK-FMT
D7-S36,34.0,2196.0,242.0,6475.0,7299.0,1068.0,33461.0,14814.0,8483.0,1716.0,4398.0,216.0,1484.0,0.0,1370.0,4979.0,0.0,37295.0,167.0,194.0,2.0,34.0,266.0,455.0,723.0,98.0,45696.0,108.0,521.0,7255.0,5961.0,75.0,0.0,533.0,591.0,0.0,933.0,769.0,1018.0,0.0,0.0,97.0,23.0,18.0,358.0,WT,Donor7,Yes,Donor,NA,NNK-FMT
D8-S37,0.0,101.0,3.0,836.0,5233.0,432.0,14661.0,10332.0,6164.0,505.0,12021.0,3697.0,404.0,0.0,484.0,719.0,0.0,20113.0,232.0,100.0,0.0,22.0,27.0,342.0,501.0,6.0,26171.0,16.0,159.0,2436.0,1756.0,133.0,0.0,68.0,298.0,0.0,256.0,0.0,60.0,0.0,0.0,106.0,286.0,2.0,2475.0,WT,Donor8,Yes,Donor,NA,NNK-FMT
D9-S38,20.0,5880.0,136.0,1959.0,3483.0,506.0,23317.0,6488.0,4327.0,617.0,2040.0,88.0,622.0,0.0,393.0,4706.0,0.0,35959.0,26.0,42.0,1656.0,43.0,791.0,268.0,287.0,18.0,26086.0,70.0,258.0,3556.0,2446.0,44.0,0.0,214.0,304.0,75.0,872.0,0.0,372.0,0.0,0.0,53.0,14.0,0.0,92.0,WT,Donor9,Yes,Donor,NA,NNK-FMT
E1-S40,132.0,9195.0,1779.0,1126.0,3291.0,185.0,18524.0,8508.0,3231.0,806.0,2253.0,437.0,251.0,71.0,1366.0,14024.0,0.0,42433.0,18.0,100.0,0.0,0.0,111.0,51.0,0.0,0.0,6784.0,13.0,105.0,473.0,369.0,0.0,0.0,37.0,118.0,542.0,57.0,6.0,1425.0,0.0,0.0,42.0,101.0,2.0,1076.0,WT,CtrlRec1,No,Recipient,Pre,NNK-FMT
E10-S49,212.0,8769.0,2009.0,1373.0,1451.0,280.0,18325.0,5763.0,1887.0,491.0,1467.0,117.0,602.0,113.0,180.0,24423.0,0.0,24757.0,0.0,83.0,292.0,6.0,358.0,76.0,34.0,7.0,13230.0,30.0,265.0,1422.0,1215.0,25.0,0.0,127.0,135.0,1330.0,399.0,130.0,1122.0,0.0,0.0,57.0,74.0,0.0,838.0,WT,CtrlRec10,No,Recipient,Pre,NNK-FMT
E2-S41,277.0,11249.0,2688.0,1084.0,3662.0,182.0,24904.0,8125.0,1772.0,855.0,2595.0,114.0,500.0,5.0,633.0,31601.0,0.0,27882.0,0.0,125.0,0.0,13.0,96.0,49.0,0.0,0.0,10009.0,44.0,225.0,807.0,649.0,165.0,0.0,128.0,42.0,490.0,238.0,0.0,2878.0,0.0,0.0,95.0,27.0,0.0,331.0,WT,CtrlRec2,No,Recipient,Pre,NNK-FMT
E3-S42,0.0,10714.0,1242.0,1051.0,2475.0,288.0,17560.0,6812.0,2710.0,444.0,2556.0,145.0,654.0,25.0,164.0,15490.0,0.0,37114.0,0.0,9.0,40.0,10.0,1858.0,54.0,180.0,5.0,15548.0,41.0,420.0,2118.0,2020.0,78.0,0.0,184.0,210.0,0.0,336.0,0.0,458.0,0.0,0.0,56.0,169.0,0.0,1887.0,WT,CtrlRec3,No,Recipient,Pre,NNK-FMT
