SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	6181	497	81	16	647	4860	79	535	1961	0	116	0	0	0	0	17	151	57	13	0	17	104	83863
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2036	153	61	30	739	2767	68	531	3705	0	90	0	0	0	0	8	0	132	0	0	8	676	65146
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	4797	64	54	0	207	7301	208	761	3680	6	184	0	0	0	0	35	0	61	34	0	0	70	91597
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	5788	38	85	14	2772	4507	102	535	2226	335	0	104	0	0	0	18	0	69	12	0	117	570	88968
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1096	546	56	21	2055	4578	343	1059	2102	0	184	16	0	0	0	22	231	35	0	0	32	979	87749
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3071	1616	0	0	0	0	0	0	0	0	0	0	0	713	0	0	27573	0	0	558	0	0	76687
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	6839	4118	188	0	0	5	0	0	0	0	96	0	0	0	0	19	151	232	62	0	4	147	167937
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2843	1536	0	0	0	0	0	0	0	0	0	0	0	1004	0	0	27598	0	0	431	0	0	81167
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	1979	2012	0	0	0	0	0	0	0	0	118	0	0	0	0	0	4910	0	16	0	0	82	65055
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2736	1569	290	16	0	0	0	0	0	0	100	0	0	0	0	49	103	199	38	0	0	127	133765
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	4883	4140	10	0	0	0	0	0	0	0	885	0	0	442	0	0	19581	0	0	183	158	153	123779
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	5814	2905	85	0	0	0	0	0	0	0	339	0	0	199	0	0	14315	0	6	0	0	53	114523
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3441	2952	42	0	0	0	0	0	0	0	0	0	0	761	0	0	32846	0	0	644	0	0	110954
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3857	4018	43	0	0	4	0	0	0	0	17	0	0	1264	0	0	35862	0	0	1060	17	0	157259
C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	4953	5876	49	0	0	0	0	0	0	0	0	0	0	647	0	0	44393	0	0	480	4	0	142149
D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	412	260	485	12	0	0	133	1897	45	0	0	0	163584
D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	31	0	226	42	35	8294	157	54	8668	410	178	32	609	0	172	5	756	625	7	0	0	111	152331
D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	94	406	0	0	0	0	153946
D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	209	135	0	0	0	0	163117
D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	7	0	101	0	0	0	0	0	0	0	35	206	49	0	0	0	362	747	40	0	0	0	152607
D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	173	338	0	0	0	0	105	416	13	0	0	0	113159
D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	67	0	0	0	0	0	0	0	343	296	2	0	0	0	93	601	43	0	0	0	170987
D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2196	219	873	195	253	10918	199	353	4398	551	838	359	534	0	167	98	2285	1354	10	0	0	97	165170
D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	101	0	48	16	72	6828	170	119	12021	227	391	88	294	0	232	6	297	320	22	0	0	106	87324
D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	5880	136	201	52	352	3895	78	194	2040	199	194	23	23	0	26	18	287	869	7	0	0	53	113509
E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	9195	1770	133	20	116	6290	39	196	2253	0	104	6	98	0	18	0	0	0	0	0	0	42	97686
E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	8769	1992	185	52	103	3751	22	151	1467	0	60	0	0	0	0	7	358	267	0	0	0	57	95395
E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	11249	2665	164	18	108	5746	55	236	2595	0	55	7	83	0	0	0	120	121	21	0	0	95	110870
E3-S42	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	10714	1221	94	31	20	5380	94	121	2556	14	68	0	32	0	0	5	153	358	8	0	0	56	102313
E5-S44	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	7794	1577	114	28	195	3556	28	230	88	0	80	0	702	0	18	15	21	91	0	0	0	45	91347
E6-S45	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	6145	1337	255	38	43	2622	23	149	1498	14	0	2	0	0	0	16	307	298	19	0	0	61	87580
E7-S46	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	6798	1590	207	0	54	3190	40	265	2329	21	40	0	0	0	0	15	86	97	35	0	0	91	82574
E8-S47	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	7886	1224	268	47	31	2786	24	149	6464	616	43	0	0	0	0	26	308	463	0	0	0	72	105849
E9-S48	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	10372	1374	99	21	176	3772	23	260	3421	0	146	0	0	0	8	21	144	153	25	0	0	155	104642
